List of importing markets for a product exported by Viet Nam Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Nicaragua	386	77	447	477	1,464	1,795	2,640	2,504	3,877	5,365	11,366	8,030	
Niger	434	785	1,300	5,730	6,496	2,905	1,289	4,172	0	0	0	0	
Nigeria	8,114	9,408	10,513	11,352	17,110	32,957	34,112	64,180	66,881	109,756	70,524	112,684	
Niue	4	59	27	0	16	22	0	0	0	0	0	0	
Norfolk Island	2	136	24	0	0	0	0	0	0	0	0	0	
Northern Mariana Islands	0	453	4	0	19	0	0	0	0	0	0	0	
Norway	15,391	16,829	20,917	23,474	32,698	38,061	49,149	93,781	51,429	74,094	89,778	125,774	
Oman	1,135	680	538	2,115	3,166	5,774	8,417	7,366	7,413	7,661	18,120	13,425	
Pakistan	8,894	21,513	23,100	39,740	42,363	65,490	82,259	96,034	110,405	133,599	168,413	174,790	
Palau	226	0	523	40	90	0	0	0	0	0	0	0	
Panama	14,802	13,337	13,949	44,694	42,860	77,850	117,956	164,538	135,306	173,758	227,433	237,248	
Papua New Guinea	3,371	395	2,086	3,954	10,193	7,840	14,732	25,660	30,029	15,617	24,711	29,531	
Paraguay	833	269	314	444	1,391	2,311	3,339	7,372	3,494	7,147	13,448	10,444	
Peru	1,672	1,243	2,487	6,066	8,125	12,581	16,471	35,697	25,598	38,336	76,250	100,592	
Philippines	368,390	315,221	340,003	498,556	828,968	782,833	965,139	1,824,666	1,461,858	1,706,401	1,535,313	1,871,462	
Pitcairn	35	10	11	0	6	0	0	0	0	0	0	0	
Poland	79,466	67,893	83,634	82,172	81,789	160,127	220,882	266,662	185,308	241,222	445,514	328,165	
Portugal	6,208	5,571	10,414	16,201	22,911	32,797	52,116	85,248	93,174	94,732	153,030	173,337	
Qatar	235	321	185	500	4,353	15,713	16,743	19,528	26,285	10,008	17,318	18,569	
Republic of Moldova	466	722	1,073	465	1,742	1,253	2,083	5,509	4,800	3,105	0	0	
Romania	6,986	10,566	11,816	14,420	15,501	20,548	32,317	77,601	76,623	77,668	74,434	80,606	
Russian Federation	194,488	187,361	159,613	215,816	251,855	413,211	458,452	671,955	414,892	829,701	1,287,324	1,617,853	
Rwanda	89	221	0	452	1,298	2,526	2,408	0	7,718	11,256	0	0	
Saint Helena	42	144	89	0	39	0	0	0	0	0	0	0	
Saint Kitts and Nevis	0	38	246	0	0	0	0	0	0	0	0	0	
Saint Lucia	101	290	27	0	39	0	0	0	0	0	0	0	
Saint Vincent and the Grenadines	30	28	36	0	0	0	0	0	0	0	0	0	
Samoa	23	52	155	0	46	0	1,078	0	3,824	4,177	0	0	
Sao Tome and Principe	32	73	34	0	7	0	0	0	0	0	0	0	
Saudi Arabia	13,728	17,966	17,030	21,884	30,448	49,333	51,466	118,257	103,880	143,971	261,720	599,066	
Senegal	21,311	13,761	33,975	57,166	41,894	9,483	9,954	102,550	107,155	80,346	190,246	91,229	
Serbia	0	0	0	0	0	0	0	0	5,204	9,083	0	0	
Serbia and Montenegro	341	816	848	882	339	0	0	0	0	0	0	0	
Seychelles	103	244	173	306	0	484	0	0	0	0	0	0	
Sierra Leone	1,449	691	496	2,374	7,947	14,122	8,441	25,659	31,511	19,149	38,109	16,437	
Singapore	1,043,734	961,126	1,024,709	1,485,257	1,916,973	1,658,842	2,234,386	2,713,824	2,075,621	2,121,314	2,149,252	2,367,683	
Slovakia	5,475	7,254	8,211	8,620	11,658	23,068	71,480	109,810	89,804	111,378	156,902	290,935	
Slovenia	1,613	2,176	2,230	6,969	8,892	11,517	18,088	20,652	17,756	24,529	24,747	35,446	
Solomon Islands	24	12	2,055	54	63	324	485	0	0	9,890	0	0	
Somalia	502	32	127	37	1,132	177	554	0	0	0	0	0	
South Africa	29,130	15,526	22,669	56,758	111,827	100,714	115,617	146,432	377,890	494,062	1,864,417	612,646	
Spain	158,530	178,963	234,204	312,025	410,799	558,019	759,634	962,237	939,901	1,110,792	1,554,720	1,793,607	
Sri Lanka	9,799	6,756	5,780	22,122	20,143	20,612	38,235	40,037	26,414	62,369	83,607	95,274	
St. Pierre and Miquelon	42	25	99	0	0	0	0	0	0	0	0	0	
Sudan (North + South)	1,155	586	802	2,088	6,188	3,408	12,996	13,649	20,178	16,071	22,520	28,930	
Suriname	506	264	183	1,348	528	1,943	1,573	1,954	0	3,312	0	0	
Swaziland	2,617	7,374	0	4,037	1,945	0	0	5,497	0	5,521	4,068	0	
Sweden	53,244	62,370	89,971	108,548	133,584	170,965	202,356	224,896	204,621	233,221	427,363	673,707	
Switzerland	94,902	66,670	74,667	135,145	103,998	156,107	237,495	522,015	2,499,717	2,651,988	1,188,503	397,725	
Syrian Arab Republic	1,520	1,298	3,609	2,765	9,358	11,547	17,276	43,812	49,381	33,675	36,386	42,965	
Taipei, Chinese	805,997	817,689	749,168	890,569	935,016	968,729	1,139,387	1,401,386	1,120,643	1,442,842	1,843,298	2,081,513	
Tajikistan	70	44	94	8	196	235	336	0	0	0	1,031	2,166	
Tanzania, United Republic of	8,278	6,074	20,662	25,042	22,485	22,586	18,475	26,590	29,016	35,670	24,131	37,279	
Thailand	322,771	227,251	335,411	518,050	862,978	897,551	1,030,035	1,288,547	1,314,225	1,182,842	1,938,259	2,832,178	
Timor-Leste	1,877	2,411	4,834	9,647	12,354	12,182	15,566	58,889	99,412	52,856	13,017	34,408	
Togo	2,976	1,375	1,450	4,956	5,792	7,283	7,950	27,225	18,399	29,928	36,294	29,642	
Tokelau	897	908	0	0	23	0	0	0	0	0	0	0	
Tonga	21	169	0	0	32	183	190	0	0	0	0	0	
Trinidad and Tobago	1,011	117	296	983	993	1,333	1,265	5,959	3,852	3,687	3,583	5,427	
Tunisia	753	747	1,580	1,133	2,398	3,612	6,165	12,657	9,601	10,688	22,456	43,687	
Turkey	11,657	23,566	31,316	46,756	60,209	141,920	201,804	330,492	284,325	528,661	771,727	862,727	
Turkmenistan	6	11	0	53	319	161	2,627	15,382	11,312	5,679	6,101	13,328	
Turks and Caicos Islands	88	11	0	0	5	0	0	0	0	0	0	0	
Tuvalu	0	14	6	0	12	0	0	0	0	0	0	0	
Uganda	1,317	113	486	610	1,415	3,982	2,104	4,541	4,604	9,231	2,752	4,396	
Ukraine	26,053	30,388	26,422	33,389	39,192	64,602	116,357	256,560	129,189	115,729	194,524	220,907	
United Arab Emirates	33,133	41,209	65,993	93,581	121,545	140,572	234,048	357,573	360,080	508,285	921,975	2,078,323	
United Kingdom	511,565	571,631	754,767	1,010,301	1,015,760	1,179,695	1,431,320	1,581,045	1,329,234	1,681,884	2,398,191	3,033,601	
United States Minor Outlying Islands	5,910	15,354	543	1,462	6,494	3,382	2,753	0	2,821	3,828	0	0	
United States of America	1,065,693	2,453,230	3,939,559	5,026,606	5,927,444	7,850,415	10,111,428	11,902,834	11,415,618	14,250,850	16,970,422	19,680,929	
Uruguay	1,699	931	455	1,150	2,383	3,424	6,055	9,221	8,653	16,355	27,383	23,102	
Uzbekistan	1,028	293	67	322	201	479	942	2,769	0	1,942	5,705	3,552	
Vanuatu	8	33	2,043	159	4	0	0	0	0	0	0	1,849	
Venezuela	5,875	4,119	1,169	4,708	7,176	11,668	11,819	19,890	13,878	21,399	27,273	26,609	
Wallis and Futuna Islands	0	39	6	0	0	0	0	0	0	0	0	0	
Western Sahara	138	72	6	0	503	0	0	0	0	0	0	0	
Yemen	9,270	236	1,382	10,885	6,639	14,553	14,330	22,486	16,108	14,961	14,604	21,790	
Zambia	475	133	767	925	1,523	2,084	0	3,402	2,997	3,450	3,257	5,157	
Zimbabwe	146	66	75	15	225	48	675	0	0	4,421	1,015	3,144	
